dak_tab,dak_section,dak_data_element_id,dak_data_element_name,dak_answer_of,dak_data_type,dak_ciel,dak_read_date,decision,layer,domain,liberiaemr_variable,concept_uuid_source,form_field,status,notes
ANC,Physical Examination,LBR.EMR.DE.11,Lungs,,Coding,,2026-07-30,reuse-local,national,concepts,var.concept.national.lungs.uuid,local,anc-initial.json#lungs;anc-national.json#lungs,verified,"Existing national physical-exam question, coded Normal/Abnormal via CIEL 1115/1116. No CIEL code in the DAK; terminology lookup still open before a CIEL mapping can be asserted."
ANC,Physical Examination,LBR.EMR.DE.12,Breasts,,Coding,,2026-07-30,reuse-local,national,concepts,var.concept.national.breasts.uuid,local,anc-initial.json#breasts;anc-national.json#breasts,verified,"Existing national physical-exam question, coded Normal/Abnormal via CIEL 1115/1116. No CIEL code in the DAK; terminology lookup still open before a CIEL mapping can be asserted."
ANC,Physical Examination,LBR.EMR.DE.13,Nipples,,Coding,,2026-07-30,reuse-local,national,concepts,var.concept.national.nipples.uuid,local,anc-initial.json#nipples;anc-national.json#nipples,verified,"Existing national physical-exam question, coded Normal/Abnormal via CIEL 1115/1116. No CIEL code in the DAK; terminology lookup still open before a CIEL mapping can be asserted."
ANC,Physical Examination,LBR.EMR.DE.14,Abdomen,,Coding,1808,2026-07-30,reuse-ciel,national,concepts,var.concept.ciel.abdomen.uuid,CIEL 1808,anc-initial.json#abdomen;anc-national.json#abdomen,verified,"DAK CIEL code matches the alias declared in the national variables.properties. CIEL 1808 is supplied by the procedures OCL export in content-common, not by lib-mch-ciel-head.zip; both are loaded by this distro."
ANC,Physical Examination,LBR.EMR.DE.15,Extremities,,Coding,,2026-07-30,reuse-local,national,concepts,var.concept.national.extremities.uuid,local,anc-initial.json#extremities;anc-national.json#extremities,verified,"Existing national physical-exam question, coded Normal/Abnormal via CIEL 1115/1116. No CIEL code in the DAK; terminology lookup still open before a CIEL mapping can be asserted."
ANC,Physical Examination,LBR.EMR.DE.16,Pelvic examination,,Coding,165372,2026-07-30,reuse-local,national,concepts,var.concept.national.pelvic-examination.uuid,local,anc-initial.json#pelvicExamination;anc-national.json#pelvic,review,"Form uses the existing national local question. CIEL 165372 ""Pelvic examination findings"" (Finding/Coded) is the correct term and was ADDED to the LIB/mch collection on 2026-08-18; it carries no Q-AND-A answers in CIEL, so Normal/Abnormal (CIEL 1115/1116) would still be supplied by content. Migrate-or-keep is now a decision, not a blocker."
ANC,Physical Examination,LBR.EMR.DE.17,Explain abnormalities,,String,,2026-07-30,reuse-local,national,concepts,var.concept.national.explain-abnormalities.uuid,local,anc-initial.json#explainAbnormalities;anc-national.json#abnormalities_explain,verified,Existing national free-text question. Required by the form only when at least one physical-examination answer is Abnormal. No CIEL code in the DAK.
ANC,Prenatal,LBR.EMR.DE.18,Routine drugs,,String,,2026-07-30,reuse-local,national,concepts,var.concept.national.routine-drugs.uuid,local,anc-initial.json#routineDrugs;anc-national.json#routine_drugs,verified,Existing national free-text question. No CIEL code in the DAK; terminology lookup still open.
ANC,Prenatal,LBR.EMR.DE.19,Date,,Date,,2026-07-30,reuse-local,national,concepts,var.concept.national.date-of-the-anc-follow-up-visit.uuid,local,anc-national.json#anc_follow_up,verified,Implemented by ANC Form only. Existing national Date question. No CIEL code in the DAK.
ANC,Prenatal,LBR.EMR.DE.20,Blood pressure (BP),,Quantity,,2026-07-30,reuse-local,national,concepts,var.concept.national.blood-pressure-systolic.uuid;var.concept.national.blood-pressure-diastolic.uuid,local,anc-initial.json#systolicBloodPressure;anc-initial.json#diastolicBloodPressure;anc-national.json#bp_systolic;anc-national.json#bp_diastolic,unverified,One DAK Quantity element implemented as the two existing national numeric questions. CIEL 5085/5086 are aliased in the national variables.properties but not used here; confirm whether BP should move to CIEL before go-live. Form bounds 50-260 systolic and 30-180 diastolic.
ANC,Prenatal,LBR.EMR.DE.21,Weight,,Quantity,165379,2026-07-30,reuse-ciel,national,concepts,var.concept.ciel.weight-kg.uuid,CIEL 5089,anc-initial.json#weight;anc-national.json#weight,verified,"CIEL 5089 Weight (kg) is correct. NOT a divergence: the DAK's 165379 is a SOURCE ERROR -- CIEL 165379 is ""Total weight gain during current pregnancy"" (Finding/Numeric), a different measurement from body weight. Verified against CIEL 2026-08-18. Same class of DAK defect as LBR.LD.DE.81 and EMR.FP.DE10; raise with the sheet maintainer. Form max is 250 to match the 5089 hi_absolute enforced by ObsValidator."
ANC,Prenatal,LBR.EMR.DE.22,Gestational age,,Quantity,,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.gestational-age.uuid,CIEL 1438,anc-initial.json#gestationalAge;anc-national.json#gestational_age,verified,"CONFIRMED 2026-08-17 against lib-mch-ciel-head.zip: CIEL 1438 is ""Weeks of current gestation"" (Finding/Numeric, units wks, synonym ""Gestational age wks""), which is the term this element needs. DAK leaves CIEL blank and gives LOINC 18185-9; the two are consistent. CONVERGED: anc-national.json was repointed from its national local concept to this CIEL term so ANC Form and ANC Initial Visit aggregate as one series; the superseded national concept stays declared pending a migration analysis (IMPLEMENTATION.md §9)."
ANC,Prenatal,LBR.EMR.DE.23,Fundal height,,Quantity,1439,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.fundal-height.uuid,CIEL 1439,anc-initial.json#fundalHeight;anc-national.json#fundal_height,verified,DAK CIEL code matches the alias already declared in variables.properties. CONVERGED: anc-national.json was repointed from its national local concept to this CIEL term so ANC Form and ANC Initial Visit aggregate as one series; the superseded national concept stays declared pending a migration analysis (IMPLEMENTATION.md §9).
ANC,Prenatal,LBR.EMR.DE.24,Presentation,,Coding,160090,2026-08-11,implement-local,mch,concepts,var.concept.mch.fetal-presentation.uuid,CIEL 160090,anc-initial.json#fetalPresentation;anc-national.json#presentation,review,"Local MCH coded question (Fetal Presentation at ANC). CIEL 160090 ""Fetal presentation"" (Question/Coded) was ADDED to the LIB/mch collection on 2026-08-18 together with its 12 CIEL answer concepts. It is NOT a drop-in replacement for the local value set: CIEL collapses Transverse and Oblique into one answer (112259) and has no ""Other"", while the approved Liberian set needs Transverse and Oblique separately plus Other. CIEL also adds 8 answers the DAK does not ask for. Decide whether to migrate and lose that granularity, or keep the local set and carry a Same-as mapping to 160090. NOTE: the collection carries NO mappings at all, so the Q-AND-A links between 160090 and its answers are absent from the export."
ANC,Prenatal,LBR.EMR.DE.25,Colour (HGT),,String,165396,2026-07-30,reuse-local,national,concepts,var.concept.national.colour-hgt.uuid,local,anc-national.json#colour_hgt,unverified,Implemented by ANC Form only. DIVERGENCE: DAK proposes CIEL 165396; the form uses the existing national Text question. Distinct from DE.7 physical-exam Colour -- do not substitute one for the other.
ANC,Prenatal,LBR.EMR.DE.26,Fetal heart tone (FHT),,Quantity,1440,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.fetal-heart-rate.uuid,CIEL 1440,anc-initial.json#fetalHeartTone;anc-national.json#fht,verified,DAK CIEL code matches the alias already declared in variables.properties. CONVERGED: anc-national.json was repointed from its national local concept to this CIEL term so ANC Form and ANC Initial Visit aggregate as one series; the superseded national concept stays declared pending a migration analysis (IMPLEMENTATION.md §9).
ANC,Prenatal,LBR.EMR.DE.27,Other findings,,String,,2026-07-30,reuse-local,national,concepts,var.concept.national.other-findings.uuid,local,anc-initial.json#otherFindings;anc-national.json#other_findings,verified,Existing national free-text question. No CIEL code in the DAK; terminology lookup still open.
ANC,Prenatal,LBR.EMR.DE.28,Treatment remarks,,String,,2026-07-30,reuse-local,national,concepts,var.concept.national.treatment-remarks.uuid,local,anc-initial.json#treatmentRemarks;anc-national.json#treatment_remarks,verified,Existing national free-text question. No CIEL code in the DAK; terminology lookup still open.
ANC,Prenatal,LBR.EMR.DE.29,Return date,,Date,5096,2026-07-30,reuse-local,national,concepts,var.concept.national.scheduled-date-for-next-anc-visit.uuid,local,anc-national.json#next_anc_visit,unverified,Implemented by ANC Form only. DIVERGENCE: DAK proposes CIEL 5096; the form uses the existing national Date question.
ANC,Initial Lab Findings,LBR.EMR.DE.30,Haemoglobin (Hb),,Quantity,1017,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Initial Lab Findings,LBR.EMR.DE.31,Malaria smear (M/S),,Coding,1366,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Initial Lab Findings,LBR.EMR.DE.32,Syphilis,,Coding,164801,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Initial Lab Findings,LBR.EMR.DE.33,Urine sugar,,Coding,159733,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Initial Lab Findings,LBR.EMR.DE.34,Hepatitis B,,Coding,1322,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Initial Lab Findings,LBR.EMR.DE.35,Hepatitis C,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
ANC,Initial Lab Findings,LBR.EMR.DE.36,Blood group,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
ANC,Initial Lab Findings,LBR.EMR.DE.37,Rh factor,,Coding,161470,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Initial Lab Findings,LBR.EMR.DE.38,Complete blood count (CBC),,String,1019,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.39,Pregnancy status,,Coding,5272,2026-07-30,reuse-ciel,national,concepts,var.concept.ciel.pregnancy-status.uuid,CIEL 5272,anc-initial.json#pregnancyTrimester;anc-national.json#preg_status,verified,DAK CIEL code matches the alias declared in the national variables.properties; CIEL 5272 Pregnancy status (Coded) confirmed present in lib-mch-ciel-head.zip. Rendered as the trimester question.
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.40,1st trimester,Pregnancy trimester,Code,140108,2026-07-30,reuse-local,national,concepts,var.concept.national.1st-trimester.uuid,local,anc-initial.json#pregnancyTrimester;anc-national.json#preg_status,unverified,DIVERGENCE: DAK proposes CIEL 140108; the form uses the existing national answer concept. Confirm whether the trimester answers should move to CIEL before go-live.
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.41,2nd trimester,Pregnancy trimester,Code,158737,2026-07-30,reuse-local,national,concepts,var.concept.national.2nd-trimester.uuid,local,anc-initial.json#pregnancyTrimester;anc-national.json#preg_status,unverified,DIVERGENCE: DAK proposes CIEL 158737; the form uses the existing national answer concept. Confirm whether the trimester answers should move to CIEL before go-live.
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.42,3rd trimester,Pregnancy trimester,Code,159067,2026-07-30,reuse-local,national,concepts,var.concept.national.3rd-trimester.uuid,local,anc-initial.json#pregnancyTrimester;anc-national.json#preg_status,unverified,DIVERGENCE: DAK proposes CIEL 159067; the form uses the existing national answer concept. Confirm whether the trimester answers should move to CIEL before go-live.
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.43,ANC visit number,,Coding,1425,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.anc-visit-number.uuid,CIEL 1425,anc-national.json#anc_visit_num,verified,"DAK CIEL code matches the alias already declared in variables.properties. DIVERGENCE: this row records the CIEL 1425 alias, but anc-national.json actually uses var.concept.national.anc-visit-number.uuid and no form uses the CIEL alias. Reconcile before go-live."
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.44,1st,ANC visit number,Code,1724,2026-07-30,reuse-local,national,concepts,var.concept.national.1st.uuid,local,anc-national.json#anc_visit_num,unverified,"Answer code, implemented by ANC Form only. DIVERGENCE: DAK proposes CIEL 1724; the form uses the existing national answer concept."
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.45,2nd,ANC visit number,Code,166075,2026-07-30,reuse-local,national,concepts,var.concept.national.2nd.uuid,local,anc-national.json#anc_visit_num,unverified,"Answer code, implemented by ANC Form only. DIVERGENCE: DAK proposes CIEL 166075; the form uses the existing national answer concept."
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.46,3rd,ANC visit number,Code,166076,2026-07-30,reuse-local,national,concepts,var.concept.national.3rd.uuid,local,anc-national.json#anc_visit_num,unverified,"Answer code, implemented by ANC Form only. DIVERGENCE: DAK proposes CIEL 166076; the form uses the existing national answer concept."
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.47,4th,ANC visit number,Code,,2026-07-30,reuse-local,national,concepts,var.concept.national.4th.uuid,local,anc-national.json#anc_visit_num,unverified,"Answer code, implemented by ANC Form only, labelled ""4th+"" in the schema against a DAK element named ""4th"". No CIEL code in the DAK. Confirm whether the DAK means exact 4th."
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.48,IPT dose administered,,Coding,,2026-08-11,implement-local,mch,concepts,var.concept.mch.ipt-dose-administered.uuid,local,anc-initial.json#iptDoseAdministered;anc-national.json#ipt_dose,verified,"Self-contained MCH coded question (FSN: IPTp Dose Administered at ANC) with exact 1st–4th MCH answers only. National IPT dose administered (1st/2nd/3rd+) left unchanged. Does not reference national answer UUIDs because concepts-mch.csv loads before concepts-national.csv. STILL DIVERGENT: ANC Form offers 1st/2nd/3rd+ against the national question; ANC Initial Visit offers exact 1st-4th against the MCH question. Cannot merge until the fate of the national ""3rd IPT dose+"" answer is decided; until then an indicator must read both concepts."
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.49,1st IPT dose,IPT dose administered,Code,,2026-08-11,implement-local,mch,concepts,var.concept.mch.1st-ipt-dose.uuid,local,anc-initial.json#iptDoseAdministered,verified,MCH answer (FSN: First IPTp Dose at ANC). Distinct from national 1st IPT dose so the MCH value set is self-contained at Initializer load.
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.50,2nd IPT dose,IPT dose administered,Code,,2026-08-11,implement-local,mch,concepts,var.concept.mch.2nd-ipt-dose.uuid,local,anc-initial.json#iptDoseAdministered,verified,MCH answer (FSN: Second IPTp Dose at ANC). Distinct from national 2nd IPT dose so the MCH value set is self-contained at Initializer load.
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.51,3rd IPT dose,IPT dose administered,Code,,2026-08-11,implement-local,mch,concepts,var.concept.mch.3rd-ipt-dose.uuid,local,anc-initial.json#iptDoseAdministered,verified,"National answer is ""3rd IPT dose+"" and must not be reused for exact 3rd. MCH answer FSN: Third IPTp Dose at ANC."
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.52,4th IPT dose,IPT dose administered,Code,,2026-08-11,implement-local,mch,concepts,var.concept.mch.4th-ipt-dose.uuid,local,anc-initial.json#iptDoseAdministered,verified,MCH answer FSN: Fourth IPTp Dose at ANC.
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.53,Woman receiving IPT,,Boolean,,2026-08-11,reuse-local,national,concepts,var.concept.national.woman-receiving-ipt.uuid,local,anc-initial.json#womanReceivingIpt;anc-national.json#woman_ipt;anc-followup.json#womanReceivingIpt,verified,"Uses the existing NATIONAL coded Yes/No question, answered by CIEL 1065/1066. The earlier MCH Boolean fallback was removed: its premise (CIEL Yes/No missing) was wrong -- 1065/1066 are present in lib-mch-ciel-head.zip -- and an OpenMRS Boolean obs resolves through the concept.true/concept.false global properties, which this distro never sets. Fatima deferral case is No plus IPTp deferral reason."
ANC,Intermittent Treatment (IPT),LBR.EMR.DE.54,LLIN received at ANC,,Boolean,160428,2026-08-11,reuse-local,national,concepts,var.concept.national.llin-received-at-anc.uuid,local,anc-initial.json#llinReceivedAtAnc;anc-national.json#llin;anc-followup.json#llinReceivedAtAnc,verified,"Uses the existing NATIONAL coded Yes/No question, answered by CIEL 1065/1066; the MCH Boolean duplicate was removed. No Same-as mapping is owed: the DAK's 160428 is a SOURCE ERROR -- CIEL 160428 is ""Long-lasting insecticidal net"" (Misc/N/A), the commodity itself, not a question about whether one was received. Verified against CIEL 2026-08-18; deliberately NOT added to the collection. Raise with the sheet maintainer alongside DE.21."
ANC,Tetanus Toxoid,LBR.EMR.DE.55,Date of TT1,,Date,,2026-07-30,reuse-local,national,concepts,var.concept.national.date-of-tt1.uuid,local,anc-national.json#tt1,verified,Implemented by ANC Form only. Existing national Date question. No CIEL code in the DAK.
ANC,Tetanus Toxoid,LBR.EMR.DE.56,Date of TT2,,Date,,2026-07-30,reuse-local,national,concepts,var.concept.national.date-of-tt2.uuid,local,anc-national.json#tt2,verified,Implemented by ANC Form only. Existing national Date question. No CIEL code in the DAK.
ANC,Tetanus Toxoid,LBR.EMR.DE.57,Date of TT3,,Date,,2026-07-30,reuse-local,national,concepts,var.concept.national.date-of-tt3.uuid,local,anc-national.json#tt3,verified,Implemented by ANC Form only. Existing national Date question. No CIEL code in the DAK.
ANC,Tetanus Toxoid,LBR.EMR.DE.58,Date of TT4,,Date,,2026-07-30,reuse-local,national,concepts,var.concept.national.date-of-tt4.uuid,local,anc-national.json#tt4,verified,Implemented by ANC Form only. Existing national Date question. No CIEL code in the DAK.
ANC,Tetanus Toxoid,LBR.EMR.DE.59,Date of TT5,,Date,,2026-07-30,reuse-local,national,concepts,var.concept.national.date-of-tt5.uuid,local,anc-national.json#tt5,verified,Implemented by ANC Form only. Existing national Date question. No CIEL code in the DAK.
ANC,Pregnant Woman Health Card,LBR.EMR.DE.60,Name,,String,1593,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Pregnant Woman Health Card,LBR.EMR.DE.61,Address,,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
ANC,Pregnant Woman Health Card,LBR.EMR.DE.62,Issue date,,Date,,2026-08-11,implement-local,mch,concepts,var.concept.mch.health-card-issue-date.uuid,local,anc-initial.json#healthCardIssueDate,verified,No suitable repository concept and no verified CIEL mapping. Local MCH Date concept Pregnant Woman Health Card Issue Date. No additional health-card concepts in this increment.
ANC,Pregnant Woman Health Card,LBR.EMR.DE.63,Name of clinic,,String,162724,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Pregnant Woman Health Card,LBR.EMR.DE.64,Age,,Integer,164168,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
ANC,Pregnant Woman Health Card,LBR.EMR.DE.65,Record number,,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.1,Medical Record Number (MRN),,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.2,Date,,Date,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.3,Full name,,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.4,Age,,Integer,164168,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,,LBR.LD.DE.5,Oxygen saturation (SpO₂),,Quantity,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.6,Blood pressure (BP),,Quantity,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.7,Fetal heart rate,,Quantity,1440,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.fetal-heart-rate.uuid,CIEL 1440,,verified,DAK CIEL code matches the alias already declared in variables.properties.
Labor and delivery,,LBR.LD.DE.8,Gravida,,Integer,5624,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.gravida.uuid,CIEL 5624,,verified,DAK CIEL code matches the alias already declared in variables.properties.
Labor and delivery,,LBR.LD.DE.9,Parity,,Integer,1053,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.parity.uuid,CIEL 1053,,verified,DAK CIEL code matches the alias already declared in variables.properties.
Labor and delivery,,LBR.LD.DE.10,Adequate tetanus-diphtheria (TD2+) immunization,,Boolean,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.11,Adequate iron/folic acid supplementation (180 tablets),,Boolean,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.12,Delivery method,,Coding,,2026-07-30,unassigned,,,,,,pending,Duplicate of LBR.LD.DE.95 'Type of delivery' in the same tab; DE.95 carries CIEL 5630 and this one carries none. Resolve to ONE data element before implementing.
Labor and delivery,,LBR.LD.DE.13,Spontaneous vaginal delivery (SVD),Delivery method,Code,1170,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,,LBR.LD.DE.14,Caesarean section (C/S),Delivery method,Code,1171,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,,LBR.LD.DE.15,Vacuum-assisted delivery,Delivery method,Code,167453,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,,LBR.LD.DE.16,Forceps,Delivery method,Code,159901,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,,LBR.LD.DE.17,Destructive,Delivery method,Code,164605,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,,LBR.LD.DE.18,Other,Delivery method,Code,5622,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,,LBR.LD.DE.19,Delivery conducted by unskilled provider,,Boolean,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.20,Perineum,,Coding,166322,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,,LBR.LD.DE.21,Intact,Perineum,Code,,2026-08-06,unassigned,,,,,,pending,"Source sheet is structurally misaligned: ""Intact"" appears in the Activity ID column while the normal data-element label cell is empty. Inferred as an answer to LBR.LD.DE.20 Perineum. dak_data_type Code was read from the Data type* cell (column 5) on that misaligned row. Requires terminology and clinical review before implementation."
Labor and delivery,,LBR.LD.DE.22,Episiotomy,Perineum,Code,170322,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,,LBR.LD.DE.23,Laceration,Perineum,Code,123620,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
