Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001
${var.concept.ciel.1284.uuid},,CIEL:1284,org.openmrs.module.emrapi:Coded Diagnosis,Problem List,Liste de problème,,List of problems for a given patient visit.,,Finding,Coded,,,,,,
${var.concept.national.acute-rheumatic-fever-i00.uuid},,ICD-10-WHO:I00,Acute rheumatic fever (I00),Rhumatisme articulaire aigu (I00),Acute rheumatic fever,Rhumatisme articulaire aigu,,,Diagnosis,N/A,,,,,
${var.concept.national.idiopathic-cardiomyopathy-i42-8.uuid},,ICD-10-WHO:I42.8,Idiopathic cardiomyopathy (I42.8),Cardiomyopathie idiopathique (I42.8),Idiopathic cardiomyopathy,Cardiomyopathie idiopathique,,,Diagnosis,N/A,,,,,
${var.concept.national.heart-failure-i50-9.uuid},,ICD-10-WHO:I50.9,Heart Failure (I50.9),Insuffisance cardiaque (I50.9),Heart Failure,Insuffisance cardiaque,,,Diagnosis,N/A,,,,,
${var.concept.national.rheumatic-fever-without-heart-involvement-i00.uuid},,ICD-10-WHO:I00,Rheumatic Fever Without Heart Involvement (I00),"Fievre rhumatismale, sans attente cardiaque (I00)",Rheumatic Fever Without Heart Involvement,"Fievre rhumatismale, sans attente cardiaque",,,Diagnosis,N/A,,,,,
${var.concept.national.birth-asphyxia-p21-9.uuid},,ICD-10-WHO:P21.9,Birth Asphyxia (P21.9),Asphyxie a la naissance (P21.9),Birth Asphyxia,Asphyxie a la naissance,,,Diagnosis,N/A,,,,,
${var.concept.national.type-1-diabetes-e10.uuid},,ICD-10-WHO:E10,Type 1 diabetes (E10),Diabete de type 1 (E10),Type 1 diabetes,Diabete de type 1,,,Diagnosis,N/A,,,,,
${var.concept.ciel.110112.uuid},,ICD-10-WHO:C96.7,Malignant tumor of lymphatic and hematopoietic tissue (C96.7),Tumeurs malignes des tissus lymphoïde et hematopoïetique (C96.7),Malignant tumor of lymphatic and hematopoietic tissue,Tumeurs malignes des tissus lymphoïde et hematopoïetique,,,Diagnosis,N/A,,,,,
${var.concept.ciel.110169.uuid},,ICD-10-WHO:L56.3,"Urticaria, Solar (L56.3)",Urticaire solaire (L56.3),"Urticaria, Solar",Urticaire solaire,,,Diagnosis,N/A,,,,,
${var.concept.ciel.110516.uuid},,ICD-10-WHO:B00.8,Herpes simplex esophagitis (B00.8),Oesophagite a herpes simplex (B00.8),Herpes simplex esophagitis,Oesophagite a herpes simplex,,,Diagnosis,N/A,,,,,
${var.concept.ciel.110521.uuid},,ICD-10-WHO:S92.4,Fracture of great toe (S92.4),Fracture du gros orteil (S92.4),Fracture of great toe,Fracture du gros orteil,,,Diagnosis,N/A,,,,,
${var.concept.ciel.110771.uuid},,ICD-10-WHO:D48.1,Stromal tumor of digestive system (D48.1),Tumeur stromale gastro-intestinale (D48.1),Stromal tumor of digestive system,Tumeur stromale gastro-intestinale,,,Diagnosis,N/A,,,,,
${var.concept.ciel.110807.uuid},,ICD-10-WHO:S02.1,Fracture of Base of Skull (S02.1),Fracture de la base du crane (S02.1),Fracture of Base of Skull,Fracture de la base du crane,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111103.uuid},,ICD-10-WHO:I64,Cerebrovascular Accident (I64),Accident vasculaire cerebral (I64),Cerebrovascular Accident,Accident vasculaire cerebral,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111459.uuid},,ICD-10-WHO:L80,Vitiligo (L80),Vitiligo (L80),Vitiligo,Vitiligo,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111523.uuid},,ICD-10-WHO:P07.2,"Extreme prematurity, < 28 weeks gestation (P07.2)","Prematurite extreme, < 28 semaines (P07.2)","Extreme prematurity, < 28 weeks gestation","Prematurite extreme, < 28 semaines",,,Diagnosis,N/A,,,,,
${var.concept.ciel.111588.uuid},,ICD-10-WHO:N81.5,Vaginal Enterocele (N81.5),Enterocele vaginale (N81.5),Vaginal Enterocele,Enterocele vaginale,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111616.uuid},,ICD-10-WHO:N85.5,Uterine Inversion (N85.5),Inversion de l'uterus (N85.5),Uterine Inversion,Inversion de l'uterus,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111628.uuid},,ICD-10-WHO:N20.9,Urinary calculus (N20.9),Pyelonephrite avec lithiase (N20.9),Urinary calculus,Pyelonephrite avec lithiase,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111662.uuid},,ICD-10-WHO:M15.9,Polyarthropathy or Polyarthritis (M15.9),Polyarthrose (M15.9),Polyarthropathy or Polyarthritis,Polyarthrose,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111705.uuid},,ICD-10-WHO:O69.9,Umbilical Cord Complication During Labor and Delivery (O69.9),Travail et accouchement compliques d'anomalies du cordon ombilical (O69.9),Umbilical Cord Complication During Labor and Delivery,Travail et accouchement compliques d'anomalies du cordon ombilical,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111772.uuid},,ICD-10-WHO:O30.0,Twin Pregnancy (O30.0),"Grossesse multiple, jumeaux (O30.0)",Twin Pregnancy,"Grossesse multiple, jumeaux",,,Diagnosis,N/A,,,,,
${var.concept.national.dilated-cardiomyopathy-i42-0.uuid},,ICD-10-WHO:I42.0,Dilated cardiomyopathy (I42.0),Myocardiopathie avec dilatation (I42.0),Dilated cardiomyopathy,Myocardiopathie avec dilatation,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111939.uuid},,ICD-10-WHO:A18.4,Tuberculosis of skin and subcutaneous tissue (A18.4),Tuberculose de la peau et du tissu cellulaire sous-cutane (A18.4),Tuberculosis of skin and subcutaneous tissue,Tuberculose de la peau et du tissu cellulaire sous-cutane,,,Diagnosis,N/A,,,,,
${var.concept.ciel.111967.uuid},,ICD-10-WHO:A17.0,Tuberculous Meningitis (A17.0),Meningite tuberculeuse (A17.0),Tuberculous Meningitis,Meningite tuberculeuse,,,Diagnosis,N/A,,,,,
${var.concept.ciel.112030.uuid},,ICD-10-WHO:A18.3,Tuberculosis of the peritoneum (A18.3),Tuberculose du peritoine (A18.3),Tuberculosis of the peritoneum,Tuberculose du peritoine,,,Diagnosis,N/A,,,,,
${var.concept.ciel.112094.uuid},,ICD-10-WHO:A17.9,Tuberculosis Of Central Nervous System (A17.9),Tuberculose du systeme nerveux (A17.9),Tuberculosis Of Central Nervous System,Tuberculose du systeme nerveux,,,Diagnosis,N/A,,,,,
${var.concept.ciel.112115.uuid},,ICD-10-WHO:A18.0,Tuberculosis of bones and joints (A18.0),Tuberculose des os et des articulations (A18.0),Tuberculosis of bones and joints,Tuberculose des os et des articulations,,,Diagnosis,N/A,,,,,
${var.concept.ciel.112163.uuid},,ICD-10-WHO:A30.1,Tuberculoid Leprosy (Type T) (A30.1),Lepre tuberculoide (A30.1),Tuberculoid Leprosy (Type T),Lepre tuberculoide,,,Diagnosis,N/A,,,,,
${var.concept.ciel.112188.uuid},,ICD-10-WHO:O30.1,Triplet Pregnancy (O30.1),"Grossesse multiple, triples (O30.1)",Triplet Pregnancy,"Grossesse multiple, triples",,,Diagnosis,N/A,,,,,
${var.concept.ciel.112245.uuid},,ICD-10-WHO:S68.1,Traumatic Amputation of Finger(s) (S68.1),Amputation traumatique d'un (des) doigt(s) (S68.1),Traumatic Amputation of Finger(s),Amputation traumatique d'un (des) doigt(s),,,Diagnosis,N/A,,,,,
${var.concept.ciel.112250.uuid},,ICD-10-WHO:T11.6,Amputation of arm (T11.6),Amputation traumatique du membre superieur (T11.6),Amputation of arm,Amputation traumatique du membre superieur,,,Diagnosis,N/A,,,,,
${var.concept.ciel.112264.uuid},,ICD-10-WHO:P22.1,Transitory tachypnea of newborn (P22.1),Tachypnee transitoire du nouveau-ne (P22.1),Transitory tachypnea of newborn,Tachypnee transitoire du nouveau-ne,,,Diagnosis,N/A,,,,,
${var.concept.ciel.112276.uuid},,ICD-10-WHO:G45.9,Transient Cerebral Ischemia (G45.9),Ischemie cerebrale transitoire (G45.9),Transient Cerebral Ischemia,Ischemie cerebrale transitoire,,,Diagnosis,N/A,,,,,
