Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Same as mappings,Absolute low,Absolute high,Units
${var.concept.mch.pnc-1-received-within-24hrs.uuid},,PNC 1: Received within 24 hours,PNC 1,Newborn postnatal contact received within 24 hours of birth,Misc,N/A,,,,,
${var.concept.mch.pnc-2-received-within-7-days.uuid},,PNC 2: Received within 7 days,PNC 2,Newborn postnatal contact received within 7 days of birth,Misc,N/A,,,,,
${var.concept.mch.pnc-3-received-within-28-days.uuid},,PNC 3: Received within 28 days,PNC 3,Newborn postnatal contact received within 28 days of birth,Misc,N/A,,,,,
${var.concept.mch.pnc-4-received-within-42-days.uuid},,PNC 4: Received within 42 days,PNC 4,Newborn postnatal contact received within 42 days of birth,Misc,N/A,,,,,
${var.concept.mch.newborn-pnc-contact.uuid},,Newborn Postnatal Contact,Newborn PNC contact,Newborn postnatal contact timing classification,Question,Coded,"${var.concept.mch.pnc-1-received-within-24hrs.uuid};${var.concept.mch.pnc-2-received-within-7-days.uuid};${var.concept.mch.pnc-3-received-within-28-days.uuid};${var.concept.mch.pnc-4-received-within-42-days.uuid}",,,,
${var.concept.mch.noisy-breathing.uuid},,Noisy breathing (grunting / stridor),Noisy breathing,Newborn danger sign: noisy breathing including grunting or stridor,Misc,N/A,,,,,
${var.concept.mch.slow-breathing-gasping-apnoea.uuid},,Slow breathing / gasping / apnoea,Slow breathing/apnoea,Newborn danger sign: slow breathing gasping or apnoea,Misc,N/A,,,,,
${var.concept.mch.flaring-of-nostrils.uuid},,Flaring of the nostrils with each breath,Nostril flaring,Newborn danger sign: flaring of the nostrils with each breath,Misc,N/A,,,,,
${var.concept.mch.not-able-to-feed.uuid},,Not able to feed at all or not feeding well,Not feeding well,Newborn danger sign: unable to feed at all or feeding poorly,Misc,N/A,,,,,
${var.concept.mch.fast-breathing.uuid},,Fast breathing (breathing rate ≥ 60/min),Fast breathing,Newborn danger sign: fast breathing with rate of 60 per minute or more,Misc,N/A,,,,,
${var.concept.mch.severe-chest-indrawing.uuid},,Severe chest in-drawing,Severe chest indrawing,Newborn danger sign: severe chest wall in-drawing,Misc,N/A,,,,,
${var.concept.mch.movement-only-when-stimulated.uuid},,Movement only when stimulated or no movement at all,Reduced movement,Newborn danger sign: movement only upon stimulation or complete absence of movement,Misc,N/A,,,,,
${var.concept.mch.draining-purulent-discharge-stump-cut.uuid},,Draining purulent discharge from stump or cut,Purulent stump discharge,Newborn danger sign: pus or purulent draining discharge from umbilical stump or cut,Misc,N/A,,,,,
${var.concept.mch.bleeding-from-stump-cut.uuid},,Bleeding from stump or cut,Stump bleeding,Newborn danger sign: active bleeding from umbilical stump or cut,Misc,N/A,,,,,
${var.concept.mch.jaundice-first-24hrs.uuid},,Any jaundice in the first 24 hrs of life,Early jaundice (first 24h),Newborn danger sign: jaundice observed within the first 24 hours of life,Misc,N/A,,,,,
${var.concept.mch.newborn-pnc-complications.uuid},,Newborn Postnatal Complications,Newborn PNC complications,"Complications and danger signs identified during newborn postnatal contact",Question,Coded,"${var.concept.ciel.1107.uuid};${var.concept.mch.noisy-breathing.uuid};${var.concept.ciel.143050.uuid};${var.concept.mch.slow-breathing-gasping-apnoea.uuid};${var.concept.mch.flaring-of-nostrils.uuid};${var.concept.mch.not-able-to-feed.uuid};${var.concept.ciel.143388.uuid};${var.concept.ciel.150915.uuid};${var.concept.mch.fast-breathing.uuid};${var.concept.mch.severe-chest-indrawing.uuid};${var.concept.mch.movement-only-when-stimulated.uuid};${var.concept.mch.draining-purulent-discharge-stump-cut.uuid};${var.concept.mch.bleeding-from-stump-cut.uuid};${var.concept.ciel.140238.uuid};${var.concept.ciel.137998.uuid};${var.concept.mch.jaundice-first-24hrs.uuid};${var.concept.ciel.5622.uuid}",,,,
${var.concept.mch.other-newborn-complication-details.uuid},,Other newborn complication details,Other newborn complication details,Free text details when Other is selected under newborn postnatal complications,Question,Text,,,,,
${var.concept.pnc.early-onset-neonatal-sepsis.uuid},,Early onset neonatal sepsis,Early onset neonatal sepsis,Early onset neonatal sepsis in the source maternal complications value set,Misc,N/A,,,,,
${var.concept.pnc.postpartum-haemorrhage.uuid},,Postpartum haemorrhage,Postpartum haemorrhage,Postpartum haemorrhage,Misc,N/A,,,,,
${var.concept.pnc.perineal-laceration.uuid},,Perineal laceration,Perineal laceration,Perineal laceration,Misc,N/A,,,,,
${var.concept.pnc.severe-hypertension.uuid},,Severe hypertension,Severe hypertension,Severe hypertension,Misc,N/A,,,,,
${var.concept.pnc.iron-prescribed.uuid},,Iron prescribed,Iron prescribed,Iron prescribed in the source maternal complications value set,Misc,N/A,,,,,
${var.concept.pnc.hiv-inconclusive.uuid},,HIV inconclusive,HIV inconclusive,HIV inconclusive result,Misc,N/A,,,,,
${var.concept.pnc.postpartum-infection.uuid},,Postpartum infection,Postpartum infection,Postpartum infection,Misc,N/A,,,,,
${var.concept.pnc.risk-postnatal-depression-anxiety.uuid},,Risk of postnatal depression and/or anxiety,Risk of postnatal depression/anxiety,Risk of postnatal depression and/or anxiety,Misc,N/A,,,,,
${var.concept.pnc.risk-alloimmunization.uuid},,Risk of alloimmunization,Risk of alloimmunization,Risk of alloimmunization,Misc,N/A,,,,,
${var.concept.pnc.substantial-risk-hiv.uuid},,Substantial risk of HIV,Substantial risk of HIV,Substantial risk of HIV,Misc,N/A,,,,,
${var.concept.pnc.risk-bleeding-postpartum-infection.uuid},,Risk of bleeding or postpartum infection,Risk of bleeding/infection,Risk of bleeding or postpartum infection,Misc,N/A,,,,,
${var.concept.pnc.perineal-infection.uuid},,Perineal Infection,Perineal Infection,Perineal infection,Misc,N/A,,,,,
${var.concept.pnc.abnormal-caesarean-wound-exam.uuid},,Abnormal caesarean-section wound exam,Abnormal caesarean wound exam,Abnormal caesarean-section wound examination,Misc,N/A,,,,,
${var.concept.pnc.wound-infection-suspected.uuid},,Wound infection suspected,Wound infection suspected,Wound infection suspected,Misc,N/A,,,,,
${var.concept.pnc.uterine-infection-suspected.uuid},,Uterine infection suspected,Uterine infection suspected,Uterine infection suspected,Misc,N/A,,,,,
${var.concept.pnc.postpartum-bleeding.uuid},,Postpartum bleeding,Postpartum bleeding,Postpartum bleeding,Misc,N/A,,,,,
${var.concept.pnc.severe-oedema.uuid},,Severe oedema,Severe oedema,Severe oedema,Misc,N/A,,,,,
${var.concept.pnc.complications.uuid},,Maternal Postnatal Complications,Maternal PNC Complications,Indicates complications experienced by the mother that are managed at the facility or referred,Question,Coded,"${var.concept.ciel.no-labour-birth-complications.uuid};${var.concept.ciel.unknown.uuid};${var.concept.ciel.pre-eclampsia.uuid};${var.concept.ciel.eclampsia.uuid};${var.concept.ciel.maternal-convulsions.uuid};${var.concept.ciel.other.uuid};${var.concept.ciel.hypertension.uuid};${var.concept.ciel.severe-pre-eclampsia.uuid};${var.concept.ciel.anaemia.uuid};${var.concept.ciel.hiv-positive.uuid};${var.concept.ciel.tuberculosis.uuid};${var.concept.ciel.syphilis.uuid};${var.concept.ciel.respiratory-tract-infection-nos.uuid};${var.concept.ciel.oxygen-desaturation.uuid};${var.concept.ciel.fever.uuid};${var.concept.pnc.early-onset-neonatal-sepsis.uuid};${var.concept.pnc.postpartum-haemorrhage.uuid};${var.concept.pnc.perineal-laceration.uuid};${var.concept.pnc.severe-hypertension.uuid};${var.concept.pnc.iron-prescribed.uuid};${var.concept.pnc.hiv-inconclusive.uuid};${var.concept.pnc.postpartum-infection.uuid};${var.concept.pnc.risk-postnatal-depression-anxiety.uuid};${var.concept.pnc.risk-alloimmunization.uuid};${var.concept.pnc.substantial-risk-hiv.uuid};${var.concept.pnc.risk-bleeding-postpartum-infection.uuid};${var.concept.pnc.perineal-infection.uuid};${var.concept.pnc.abnormal-caesarean-wound-exam.uuid};${var.concept.pnc.wound-infection-suspected.uuid};${var.concept.pnc.uterine-infection-suspected.uuid};${var.concept.pnc.postpartum-bleeding.uuid};${var.concept.pnc.severe-oedema.uuid}",,,,
${var.concept.pnc.other-pregnancy-labour-problems-details.uuid},,Other pregnancy or labour problems details,Other complications details,Details supplied when Other pregnancy or labour problems is selected,Question,Text,,,,,
${var.concept.pnc.hiv-counselling-provided.uuid},,HIV counselling provided,HIV counselling provided,Whether HIV counselling was provided at this PNC contact,Question,Coded,"${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}",,,,
